,tweet,class
42,@JoyAnnReid 3. marginalization/domination by other tribes and thus the desire and agitation for freedom and self determination till this day!,0
43,@koohoursuwu gm!!! have a lovely day!🥺🤍,0
44,Rare day off work so I’m logged on at 01:37am and I figured the self loathing and depression on here was omnipresent yet consistent but WOW so you guys really fucking hate yourselves at this kinda time.,0
45,Vamos ami #AMAs  #AMAsTNT BTS #ARMY @BTS_twt,0
46,"My day 1 raid was ended at the 17 hours mark, but not with a completion unfortunately...  That doesn’t mean the show is over. I’m very proud of getting into the final boss fight on day one in contest mode with an LFG team where a lot of elite gamers also struggled.  Next day one!",0
47,i slept all day 🙂 feels good,0
48,@darkconan_ yum,0
49,I hope you all have a good day today 😃,0
50,Day 3 #spotify  https://t.co/ugl81oj4zf #KEEPSTREAMING  #spotifyplaylist  https://t.co/KhyprF2OHk,0
51,@alecspivot aaaa mds vamos amigar simm por favor!,0
52,@MPena1029 @jamesvarlack Hi Melissa! Amen to that....thankful for just another day!  #RGVEDUCHAT,0
53,"Whoops! Let's get this correct. Apple iPhone 7 on right, Samsung F20SE on left. Kinda cool. Same location, time of day, etc. Bhang latte dose. I've always loved photography. This will be fun!  https://t.co/OPYga8OVET",0
54,@grooveoshh hv a nice day!,0
55,The day a guy actually says he wants me to be his gf i wouldn’t even know how to react .. I’m so used to being alone,0
56,@BBY95BEAR hv a nice day! jgn lupa sarapan,0
57,"@_little_lo Be honest! Its your body and you have to see it every day. Your ideas change all the time, something you once loved you may hate. I've got Gampo on my hip and really debating about what to do about it.",0
58,POR QUÉ MIERDA NO ME LLEGAN LAS NOTIS LA PUTA MADRE,0
59,@uwugodd good morning!! have a great day ahead!!,0
60,@AngelaC17731745 @LaborIsTrash And this  https://t.co/T5eXJAcWNM,0
61,@killusm agora ja ta ofendendo ㅠㅅㅠ,0
62,@joshtowne My highlight so far was The Bew Day's Gears 5 attire. That's it. Match-wise the PPV has been super boring so far,0
63,@Camil_B12 Pero porque????,0
64,"I literally only watch horrors and thrillers, what does that have to do with anything??",0
65,Every time I ask someone when they want to catch up and they say the one day I’m not free it’s like damn how’d they know??,0
66,@AtomicAnalyst @OttenbergEve @JSCCounterPunch every Agency and Department has been #Sabotaged since day one. @Transition46 will need to hire repair crews,0
67,@rarecrf Tbmmm,0
68,"Not just corruption. £11,000,000,000. And the #UKGov decided £6,000,000 was excessive to feed our children. That's less than 1/20th of 1 penny in the pound. Of course the plebs can starve, when we're paying £7,000 a day to our mates in case they can be bothered to do something.",0
69,i just wanna shout out @starlitcheshire @history_huh and @readingwithsara bc they’re always just the nicest sweetest bestest people in my life and i adore them more every day,0
70,lihat border day one.. will be a masterpiece..... cant wait enhypen @ENHYPEN #sunghooniyou,0
71,@hometaeiconic Kim namjoon spring day #AMAs  #AMAsTNT BTS #ARMY  @BTS_twt,0
72,sag season has started like what??? one day ago and here i am craving passion and emotion hahahah help your poor local sagi moons pls,0
73,Day 56 asking @CliffGammaCEO for free Gfuel,0
74,@glowlytears have a nice day bb! jgn lupa sarapan ;),0
75,save your tears for another day,0
76,@tinyguk_ @BTS_twt puta madre harta de todo,0
77,the same person. everyday. all day.,0
78,@brupiercer imagino kks ainda bem q nn aconteceu nada aa,0
79,just listened to feeling whitney on repeat for the past 20 minutes yes it is that type of day,0
80,Good morning @winmetawin Have a nice day #WinYouAreMyDay1 #winmetawin  https://t.co/DxPBPzfHRo,0
81,Nov 22- JLP Tip of the day   We can control our stress by worrying about things once .   #jlptip #stress #unnecessary #worry #worryaboutyourself #worryless  https://t.co/orFQyfhHPx,0
82,procura-se amigos pra por na loc,0
83,"""golden golden [he] is broken, and i'm hopin some day you'll open..and i'm know that you're scared becaues i'm so open..."" #Golden   https://t.co/2IUBw6mZTt",0
84,YOU BLACKS NAH YOU GOTTA BE A TROLL,0
85,"Might do a BOCW stream tomorrow during the day , if not ill be LIVE tomorrow evening for WOW Shadowlands XPAC.    https://t.co/FLKe92wkip #AVNation",0
86,"Guide me in your truth and teach me, for you are God my Savior, and my hope is in you all day long.  Psalm 25:5  #TheUnheardTruth #TUTLivePodcast",0
87,"@jakeeluvss sure, follow back me then",0
88,no se q poner pero q canción del bien just one day   #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
89,"LOL JUST SAY UR EMBARRASSED FOR HAVING A DAUGHTER THAT HAS ‘AVERAGE’ GRADES AND GO, Y’ALL DONT HAVE TO FORCE ME TO ANSWER STUPID QUESTIONS LIKE “ANONG NAGYARI SA UTAK MO NA HINDI KA NA NAGPASA” BRO WHY R U FORCING ME TO ANSWER THAT, I PASSED EVERYTHING IN A DAY, IM DONE LOL STFU",0
90,@ruivaconfusa amada? cheguei agr to sem tt o dia todo (me explica no zap),0
91,"@jkentday Is it though? No pay day, no ESPN, pac 12 refs, rules, etc. There isn’t a real benefit for BYU at this time.",0
92,@mahlukbumi_2 Hv a nice day and don't forget breakfast ya♡,0
93,Ziguxxi h puqvpiqv0izv0a9uqgqfqhpdw,0
94,I wish i could go a day without feeling like shit,0
95,"@CEVANSTYPO You’ll learn one day, I hope😭",0
96,@UROCKlive1 @chris_labarthe The entire world paused on the day of his funeral.  I was a young boy and still remember it well.,0
97,@upsetbeatriz mas eu sou mesmo ué maria júlia leãozinho marciana,0
98,How was y’all’s day 🙂?,0
99,"PETER - one of the longer ones, mostly consistening of light-hearted (mostly lol) and fun songs, especially some from the 2000's :))   https://t.co/SUhYHeftjU",0
0,@_GNCV_ @LemonKiwi_ Glad you enjoyed 😌,0
1,@lipiroy Thank you so much for everything you do Dr. Roy! I'm glad your dad is home &amp; I hope he continues to improve.,0
2,@yoonglossd OHHHH ok i’m glad i thought he was hurt or something😭,0
3,MY BFF IS HAVING A WHOLE ASS BABY AND IM SO GLAD I DONT HAVE TO KEEP IT SECRET ANYMORE ❤️❤️❤️❤️❤️,0
4,"@MattLeinartQB As much as I miss LA, I’m glad I’m not there right now. So crazy. ❤️",0
5,@BoxxOfMeng I am so glad you all have remained healthy and employed! That is definitely a blessing during this pandemic! :),0
6,@RPolanskyNews @wkyc I remember doing this exact same thing when I was a child too. Glad I’m not the only one.,0
7,@BaynesFanClub is a goat and a legend and I am glad for its existence.,0
8,so glad I rolled over my ticket from this year - going back will be surreal 😌💖 (y’all best wear a mask so this can happen in the fall I swear),0
9,@ItsMrShadow Glad he didn’t. Nigga treated us goofy now he looks dumb.,0
10,"@MichaelSholler2 I'm glad they're doing the wellness checks. If even one life is saved, it will be well worth the effort.  Be safe!",0
11,"better be glad I’m not in the south cuz I pull niggas okay, time to get back out there and play  https://t.co/VNjYB3Vdrj",0
12,@OctoberFerguson Whew!  Glad I don’t have any Brians,0
13,@lahKayxo ohh im glad,0
14,I have no idea why this gif exists but I'm glad it does  https://t.co/89NHtbvj6M,0
15,@NoFunOverlord @starlightgeek Hello! Glad to be here!! Hope you enjoy my run :D,0
16,"@60Minutes I'm so glad you did this segment. So many (especially the young) believe they will get #Covid, get better and move  https://t.co/9ugUcawxl3 we're seeing the aftermath, far worse than the Virus at it's peak.Just like 9/11 aftermath. People need to wake up",0
17,"@APurpleLifeBlog @TreadLightly_RE @KristyLKnapp @KKnight213 I have always wanted to travel in a sleeper car, so I'm so glad you're doing this thread!",0
18,@kinochistt I’m glad I’m not the only person side-eyeing that post 👀,0
19,"@KDDrummondNFL Yeah, it fucks my head up! I want them to win, but want them to tank! Ah, let em win! No, lose! Win!!!! Fuck, lose! I don’t know! I hate this, but I’m glad they won...damnit!",0
20,also  i’m  glad  to  be  back  i  missed  you  all  &lt;333,0
21,@J_EONGGU Exactly!! glad that i found my friend here! 🥺 got any plan for monday oppa?,0
22,@scrxptedangel I’m so glad I joined twitter tbh ur so fun and nice 😊,0
23,"@JohnJamesMI Here is quick update for U- all 82 counties have certified.  The state will sign off tomorrow.  Done! So fucking glad u lost- u pitiful excuse for a human.  LIES! LIES! LIES!  is all u have.  U LOST by 92,000 votes.  Every court case was thrown out for lack of evidence.  U LOST!",0
24,"HAPPY BIRTHDAY TO MY DEAR FRIEND @nebulalazu!!!! I am so glad to share the mitsuki braincell with you, and I hope you have a wonderful day! You deserve it 🧡🧡🧡 sending you the biggest mitsu hug on your special day, Lazu!!! 🎉🎉🎉🎉🎉  https://t.co/1vBzWd22nv",0
25,@kirasimsimma DaMn. That’s real. I’m glad you’ve been able to see it and manage it on your own.,0
26,"@RepAdamSchiff It's sad they choose to do this to a country they claimed when they decided to become politicians to respect, protect their voters, &amp; now look. They get our votes then they want us to bend over. I'd be ashamed to be a republican, glad I'm not. 😷🇺🇸🧢",0
27,@kmmfearless i’m so glad.,0
28,@sleeepysugawara SOBBING RN I MISSED U ON THE TL PLS IM SO GLAD UR BACKDHHSHDDH,0
29,"@LeafsgirlSteph oh my gosh I'm so glad you are okay my friend, vehicles can be replaced. Please take it easy",0
30,@buttmxnch I'm so glad you're feeling happier 😊,0
31,I’m glad me &amp; @PatrikIanPolk went to dinner on Friday. Bye bye outdoor dining in LA. So many emotions that I’ll just keep to myself. But seriously...,0
32,@crushersports Im proud of em both im glad to call them my teammates,0
33,"so glad the women are on now so i can sleep after, i'm knackered",0
34,"I bought a new VEIKK drawing tablet off of Amazon recently and I’ve been enjoying it a lot! It’s actually quite a fair price too, especially for what other tablets are asking for. I’m really glad I bought it c: @VEIKK_USA  https://t.co/Omw8gOOjTN",0
35,i'm so glad i got out of that side of armytwt,0
36,I’m glad I educated myself 🤓,0
37,@leesa101 glad I could be of assistance lol,0
38,@BTS_History613 Glad I’m not alone,0
39,@xWiLLbLURKNx Hanging in there. Excited &amp; nervous for tomorrow night. More so because my son is even more nervous than me. Big game. Glad to see you back. Hope you're well.,0
40,@babycakesdg //🥺💖 Precious 😢 I'm glad he's doing well and doesnt look as skinny in this recent chapters although he got into accident 😢,0
41,@taekookonearth @BTS_twt Solo dios sabe.  #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
42,@InLauriWeTrust @jamienolastname okay? i’m glad he did. playing well previously is not an excuse to literally throw the game later lmao,0
43,I'm so GLAD I handle things different because if this was me years back I would snapped,0
44,@moonlightpjm__ ok glad that wasn’t me 😭🤚🏼 i was like uh... that’s... what’s the word,0
45,Extremely glad to hear this 🥰 One of my favorite Thanksgiving traditions in recent years. Well... Black Friday traditions off the DVR. Because it airs at 12:35am and I’m old 👵🏼😴,0
46,Glad to help!  The presentation went flawlessly that’s enough for me !,0
47,I'm glad I'm a part of Loveworld!,0
48,I’ll be so glad when I’m done with grad school 😩,0
49,"@it_hunts ""Hey, little buddy. Glad you're enjoying the show.""  He nods at the bird.  ""Any requests?""  He'd be surprised, but not shocked, if the bird talked back. These are magic woods, after all.",0
50,BYU will have plenty of options next week too. This isn’t the only week they can pick up a game. Glad they’re being patient.,0
51,@TRBHorseRacing Glad you are pointing this out. Riders make suspect decisions often and media covering races almost never say anything.,0
52,"@therealmikekb If he ever shoots like 38% from beyond, which he ought to be able to do, he'll be one hell of a player. Love him so much.   Assumed he'd be part of Operation Get Rid of Al. So glad he's still here.",0
53,@ICameFromFaceBk @PeteOfTheMoment @eduran02 @RealoneC @TopBallCoverage I'm glad u said it my fingers would be tired,0
54,"There are times where I know my sister is glad I am around. Usually when I use my knowledge of things she never thought about. Like today she wanted to get gift bags for Christmas. She never thought to look at stores like Five Below or Big Lots for them, she knows now though.",0
55,"@alyrch99 I’m glad he’s not a girl, I’m already full up on girls I need to pull",0
56,"@marwilliamson I'm glad she's saying something now, but let's be clear: at two weeks in, this ain't no profile in courage.",0
57,@CollieJake Jake I’m glad you survived.,0
58,@Lu_010503 @BTS_twt ASÍ ES AMIX  #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
59,Your a stud bro! Glad your heathly and on our squad! Thank you!! #Browns,0
60,@hyunhoagenda thank you 😭😭 im glad you liked it !,0
61,PLS SAVE YOUR TEARS IS ONE OF MY FAVS ON THE ALBUM im so glad he didnt sing blinding lights🙏🙏,0
62,LOL don’t you wanna be glad*** I’m STUPID,0
63,"@sugarf4iry You look great, glad your staring to be happy with yourself 🖤  https://t.co/AozfNpsVKm",0
64,@lolpenisfunny Hello there. Need help with assignment? Reach out I'll be glad to help.,0
65,@AlinityTwitch glad you are coming back to the dark side we knew you couldn't resist our cookies :P,0
66,@MarkyMorreale @HackswithHaggs No shot. He’s a terrible person. Couldn’t pay me to walk in his shoes. So glad he’s gone,0
67,“I’m glad I’ve got tomorrow off. I need to regain my strength after the sleepover.”,0
68,"Mfs be like ""Your jokes uno 😂😂😭"" Thanks im glad my pain could be of assistance to you",0
69,"@PokemonExplaind The ever so beautiful Primarina.  When the fairy type was introduced in X and Y, I desperately begged for a fairy type starter.  When Popplio was shown to have disarming voice, I hoped that was it, and was glad that was the case.  Best Gen 7 Pokémon, ever ^^  https://t.co/20UAUyI6eM",0
70,"@bigtittiemonb Ah, I'm glad you enjoyed 🤧",0
71,"I'm glad Keith Lee got new music, but I always loved the ""for he is limitless"" part. I want them to keep that bit. #keithlee #survivorseries",0
72,"""Give glad tidings [to the people] and do not frighten [them] away, and create ease and do not create difficulty"" - Bukhari &amp; Muslim #Allah #Quran #glad #difficulttimes #HelpingHands2020 #KNOWLEDGE #learn #BeKindToEachOther #Worlds2020 #jannah ##truestory #PeopleChoiceAwards",0
73,@BruceExclusive Glad I’m not the only one who noticed that,0
74,@boi_mormon @ComradeToguro @Marco_Campo @KaufmanAudrey im glad you know i had a bangin pfp  https://t.co/6H6Otw9pQl,0
75,@92jinlovrs @BTS_twt VOTANDO ANDO AAAAAA  #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
76,"@sangchus Yup the fandom is an absolute trash fire, glad I never got into it. There are other interesting chars you might like as well.",0
77,"@gabbymolinarp ""Glad you like."" She said with a smile.  ""I'm glad you came by. I love having company.""",0
78,"@Snowayout @Verbatim411 @CKscullycat I’m glad you survived that toxicity. Hoping you have been able to move through to thriving.  It’s a long haul thing, but worth it.",0
79,@drowninGaal Thank you so much! I am glad you think so,0
80,"@whispy121 Ah, yeah, I get that.  I noticed I'm WAY less productive if I can't go out and about, even on walks.  Glad you're getting that good writing feeling though!",0
81,@BarryLaclam I’m glad Barry is dead. Feel a big weight off of my shoulders today  https://t.co/Ww5PdP8MQ8,0
82,Siapa je tak happy kalau customer cakap 'tak menyesal beli' 🥺🥰 Dia sanggup tunggu tau beg ni restock and glad she like it ❤  https://t.co/b4GKfzxElc,0
83,@calsbuddhabelly Glad to find a like minded individual,0
84,@WhreMoon No we are not glad,0
85,Glad this bum got bodied  https://t.co/OWAV90r9KK,0
86,I’m glad she won,0
87,@kickscreampod @nesgritton @elijah_pizza I'm glad Ricky has a sense of humor. I like Ricky.  https://t.co/doqr9FftwD,0
88,The issue with Wiggins on Minnesota is that they had no leadership or consistency. The one year they did they were a top 4 seed in the West before Jimmy got hurt. KAT not a leader and neither is Wiggins. They're talents.,0
89,"“(Of whom the world was not worthy:) they wandered in deserts, and in mountains, and in dens and caves of the earth.” Hebrews 11:38  Glad to read of God’s people obeying him rather than man, but sad it has come to this in the formerly Christian West.   https://t.co/AuHHfSGusR",0
90,@kylegriffin1 @maddow Glad someone finally did it,0
91,@EvilGayCockyGrl I'm so glad they're both ok,0
92,@helor1122f @KNKOfficial220 @220ent_official Glad to know that 😂,0
93,@flashfletch @DevanIsNotHere Yikes! Glad you’re alright!,0
94,@tedgeoghegan Hey! So glad you can join us. How much research did you put in to native people for the movie?,0
95,@bizzlesnumb aw I’m glad 🥺 I love you more 🤍,0
96,@puppygirlfan84 *hugz* I'm glad you're happy X3,0
97,@ReadHollyWood So glad to hear!!!,0
98,@dooz_er You’re always welcome as the door is open!! 🤣🤣 Skool haha  I’m just glad the Cowboys won,0
99,@deeAmazin_Virgo Oooop I always thought it was her leading him on n he finally got tired I’m glad I asked Ctfu,0
0,MY MOM CALLED ME TALKING BOUT DONT COME DOWN NANNIE HELEN BURROUGHS THIS SHIT HOT SO IF YOU DIRTY DONT COME THIS WAY 🤣🤣🤣🤣🤣  ... S/O TO THE MOM WHO KNOW WATS UP I LOVE SELENA ♥️♥️♥️,0
1,@rinu_love_toki ガラテアたそは,0
2,"So my party finished Descent into Avernus last night, the first campaign I've seen beginning to end. Everyone got their own happy ending, no matter how unconventional, and I was filled with all the feels. I love my fellow party members and can't wait til our next adventure!",0
3,@CortanaV I love the idea of my chobani being sentient,0
4,@charlidamelio I love u,0
5,I love DaMarcus so much but I think I married the world’s most annoying man 😂,0
6,I’m not ready if they change Shayna’s theme. I love her theme,0
7,@ts_uyuna Love your cock,0
8,@stillblueside @mxmentsilence @yazminenlynch PLEASE I LOVE HIM,0
9,I love that my friends don't use tiktok like that cause I can do tiktok trends on them without them knowing 😂,0
10,Pleasegive me every last ounce of your love. The passion concealed into our hearts will now harmonize in song!,0
11,😝 I love this 😍,0
12,"sorry neighbors, today is my Friday and I’m gonna blast 80’s metal while I clean the house, go fuck yourselves!*  *love u guys",0
13,i love in your eyes by the weekend so much. probably my favorite next to i feel it coming,0
14,My girlfriend prayed with me for tyreek to munch tonight 😭😭😭 that’s love !,0
15,There’s nothing more I love than just to feel love. I dunno,0
16,how he always loves and cares for his members  #HAPPYYOUNGBINDAY  #영원히_빛날_영빈이의11월  https://t.co/kghw3xQpKm,0
17,"Okay, I pull up, hop out at the after party You and all your friends, yeah, they love to get naughty Sippin' on that Henn', I know you love that Bacardi (Sonny Digital) 1942, I take you back in that 'Rari",0
18,@kyoongmybaby I know it's unfair that he didn't love u but now whattt you do 💃,0
19,My goal is really to love myself more idk what more is but I’ll know when i know,0
20,@realDonaldTrump Love your jokes!!! Keep them coming FATSO LOSER!!!!! 🤣🤣🤣🤣😂😂😂🤣🤣🤣😂😂😂😂🤣🤣😂😂😂🤣🤣🤣🤣😂😂🤣🤣😂😂😂😂😂🤣🤣🤣🤣,0
21,I really love this song. 🤍,0
22,@kyo_yuni Love ya too!! :&gt;&gt;&gt;,0
23,@kookielys @BTS_twt Fake love  #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
24,I love Shayna tho.,0
25,I have no time to be dilly-dallying with callow love affairs… I assume the same is true for you?,0
26,@xCLOWNSx i wish i were financially stable enough to hate it but my bank account says i love it,0
27,I kinda like cooking  I love having food cooked 😂,0
28,"@JLemongrass @Quackity @jschlatt THIS IS SO GOOD, I LOVE IT. YOUR COLORING IS JUST ✨✨WOW✨✨",0
29,I'm just spamming with results now but the final zoom is so fucking smooth I love it  https://t.co/69pxP4Pu1g,0
30,"Que lindo seria que justin gane y escuchar un ""i love my fans""",0
31,"In addition, normal shutting down ppl who just love talking about other ppl business  -management",0
32,"Never underestimate the power of prayer, positive energy and love.  SHOIYEN IkapitongSagutan",0
33,Block him let lil ugly have him since she so in love,0
34,@deity_arson @minerva_nora_ noooo youre rlly funny!!!! i love your jokes! 😸 /gen,0
35,what a darn shame now the Kraken has turned on her..  few folks know kraken love snack-en on 💩🗣️'s  https://t.co/yO86Md5buY,0
36,i love coincidence  https://t.co/f9mmdqczJt,0
37,meu deus vou implorar a agatha para pedir a maiah pra gravar um cover de i can't help falling in love ou cantar na live quarta 😭,0
38,gonna become one of those awful NYC transplant writers who write love letters to bodegas but for chicago and the experience of forgetting what you were talking about because an L train interrupts your conversation,0
39,NOW WHO WOULDN'T WANT TO HAVE SUCH A GREAT...FUN TIME HANGING OUT WITH KATHNIEL ?  LET'S SHOW THE LOVE FOR KATHNIEL  #KathNielsShareTheLove  @ABSCBN,0
40,@didzposting we love to see it! The summery outfit! (Very rainy in sydknee rn),0
41,Love #AMAsTNT,0
42,@SYMENTERTAINME1 We love our seniors! ❤️,0
43,God I fucking love R Truth #SurvivorSeries,0
44,Oohh mee already having teary eyes watching Victors reaction 😭🥰❤️ I love you LVE FAMILY 🙏❣️ I can't wait to be apart of this journey with y'all $crystalkatheryn @lauramellado  https://t.co/G2xZxhO2cl,0
45,"Why am I crying? Love you, momsh Katy Perry #OnlyLove #AMAs2020",0
46,"♡ from: anon ♡ to: @coscherry  i really appreciate all the sweet n thoughtful stuff u send me and i constantly look forward to talking to u! u make everyday that much better and i love u, a lot &lt;3",0
47,I love this woman so much 🥺✨💘  https://t.co/9iuPk1yJIl,0
48,"I really relate to nam dosan, having parents with lack of support. Doing my best and yet for them it's not enough.. i love how each and every character has its own distinct personality in which we can all relate to. Pls stop hating nam dosan🙏",0
49,@minsugacheonye @BTS_twt I love BTS #AMAs #AMAs2020 #ARMY,0
50,@basedkashh Love my boi 😈💪🏼,0
51,@amandambarr @Jandrade0112 @teaberryblue @JohnDelaney Love to talk about how much you’re liked I see. 😂 I don’t look for or ask people to follow me. It’s not important to me so your comment isn’t landing like you thought it might. You talk about lupus &amp; then remark “that’s why we...” implying you also have it. Others got that too.,0
52,"Hello @yitexity and @yitexitynsfw, I am one of your many fans of your artwork! I have been a fan ever since it came out in 2016, and actually, every March 4th, I have a day long marathon for me and my dad celebrating zootopia, I really love what you do and keep up the good work!",0
53,I hope she gives a speech I love hearing @iambeckyg speak #AMAsTNT #AMAs2020 #AMAs2020  https://t.co/KCmdUpQSBg,0
54,@blckbeers @bcdepe @gimmehurt @skinny_que @XJBEYS love myself :(,0
55,@gpsV5z2ksYddalF 確かに〜 仕事はスカッと決まったけどせっかくまとまったLoveの部分もう少し見たかったかも😊 タミはヒョンとは真逆で素直になれなくて恋愛不器用だったよね でも不器用の割には元カレに今彼に恵まれすぎ〜😚,0
56,@JesabelRaay He was amazing in The Way Back. I love seeing a performance that felt more at home with what an actor is going through in real life. Plus he portrayed alcoholism realistically.,0
57,@BabyImaVeteran yea I think it’s bc I love sandwiches,0
58,@love_ohasen くまさんおはようございます😄 今週も、充実した時間をすごせるように頑張ります💪,0
59,I just love his arms 😩 like yes put me in a head lock puhhhlease 😂😂😂,0
60,@luxjk97 @BTS_twt Love is not over #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
61,The LOVE was so major from the HOOD to the VALLEY to the HILLS. My kind of energy 💪🏾🥰,0
62,do yall love me /gen,0
63,All the bad bitches falling in love with goofys shit getting me aggravated,0
64,Hmm... I love uuu @taylorswift13,0
65,@I_LOVE_YOU_BTS7 머야 나는 렉 안걸리눈데,0
66,Love converting my friends into Harry fans one by one ... I’ll get the other boys too but one at a time,0
67,"@ethan_graves Your loss my friend. His story is remarkable, his passion and love for the game are unrivaled. He is an MLS and Quakes Legend, and it's about way more than just his goal scoring.",0
68,Yeah I love ikea,0
69,"@bts_sfkai good morning, ate kai! i love you. be safe always! taekook subunit !  KIM TAEHYUNG BEST BOY @iamyoursTae @yang_aurts @sabrinajolie_  @BTS_twt 27253",0
70,@thelastcumbendr @DischargeGulper love you asf bae,0
71,You love to see it!!! 👏👏👏  #dhbc | #BoltUp,0
72,Can't Help Falling In Love With you .. practice 101 haha  https://t.co/4F1ZaARv4q,0
73,@iNomSuga i love you so much kai and i’m always here for you,0
74,"@macaroonyyy @minxyjinxyy In this tweet, Mak wants user @minxyjinxxy to love them. However, the twitter user hasn't responded yet, meaning that they don't love Mak.",0
75,Love you Aunt Diane ❤️,0
76,abel i love you so fucking much  https://t.co/fVCzlqHjp5 #AMAs2020,0
